1,	25.4,  1450  , nan,  1450  ,nan,  1450   ,  2305
0,	0,     1450  , nan,   1450 ,nan,  1431   ,  2048
1,	-25.4, 1450  , 59,    1450 ,49,   1450   ,  1865
-2,	-50.8, 1459  , 2048,  1450 ,552,  1422   ,  1612
-3,	-76.2, 1450  , 3990,  1450 ,1055, 1450   ,  1425
-4,	-101.6,1450  , nan,  1450  ,1555, 1450   ,  1189
-5,	-127,   1450  ,nan, 1450   ,2048, 1450   ,  967
-6,	-152.4,1450  , nan, 1450   ,2564, 1450   ,  765
